# Arabic translation table for the Al Fath Residence landing page.
# One replacement per line:  <English source text> TAB <Arabic replacement>
# Applied top to bottom as literal (not regex) replacements, so longer / more
# specific strings must come before shorter ones that they contain.
# Lines starting with # and blank lines are ignored.
# Rebuild the Arabic page after editing:  bash i18n/build-ar.sh
#
# ---------- head / meta ----------
Al Fath Residence — Apartments in Madinah	الفتح ريزيدنس — شقق سكنية في المدينة المنورة
Al Fath Residence — 32 residences in Madinah's Al Fath district, two minutes from Masjid Al Fath and minutes from the Prophet's Mosque. Explore floor plans in 3D and register your interest.	الفتح ريزيدنس — 32 وحدة سكنية في حي الفتح بالمدينة المنورة، على بعد دقيقتين من مسجد الفتح ودقائق من المسجد النبوي. استكشف المخططات بتقنية ثلاثية الأبعاد وسجّل اهتمامك.
A Place Where Your Soul Calls Home. Minutes from the Prophet's Mosque.	مكانٌ تناديه روحك بيتاً. على بعد دقائق من المسجد النبوي.
Residential apartments in the Al Fath district of Madinah, minutes from the Prophet's Mosque.	شقق سكنية في حي الفتح بالمدينة المنورة، على بعد دقائق من المسجد النبوي.
<meta property="og:locale" content="en">	<meta property="og:locale" content="ar">
#
# ---------- nav ----------
>Home</a>	>الرئيسية</a>
>Floor&nbsp;Plans</a>	>المخططات</a>
>Location</a>	>الموقع</a>
>Contact&nbsp;Us</a>	>تواصل معنا</a>
>Gallery</a>	>المعرض</a>
<span>Brochure</span>	<span>الكتيّب</span>
title="Download brochure (PDF)"	title="تحميل الكتيّب (PDF)"
#
# ---------- hero ----------
<p class="hero__eyebrow">Al Fath, Madinah</p>	<p class="hero__eyebrow">حي الفتح، المدينة المنورة</p>
<h1>Your home in Madinah.</h1>	<h1>بيتك في المدينة المنورة.</h1>
<p class="hero__sub">A Place Where Your Soul Calls Home.</p>	<p class="hero__sub">مكانٌ تناديه روحك بيتاً.</p>
>Register Your Interest</a>	>سجّل اهتمامك</a>
Download Brochure</a>	تحميل الكتيّب</a>
<span class="hero__scroll">Scroll</span>	<span class="hero__scroll">مرّر للأسفل</span>
aria-label="Unmute video"	aria-label="تشغيل الصوت"
title="Unmute"	title="تشغيل الصوت"
'Unmute video':'Mute video'	'تشغيل الصوت':'كتم الصوت'
#
# ---------- about ----------
<div class="eyebrow">About the Residence</div>	<div class="eyebrow">عن المشروع</div>
A modern home, close enough to walk to every prayer.	بيتٌ عصري، قريبٌ بما يكفي للمشي إلى كل صلاة.
Al Fath Residence was built for the rhythm of life in Madinah. Set in the Al Fath district, it places you a short walk from Masjid Al Fath and minutes from the Prophet&rsquo;s Mosque, so the day can move gently between rest and worship.	بُني الفتح ريزيدنس على إيقاع الحياة في المدينة المنورة. يقع في حي الفتح على بُعد خطوات من مسجد الفتح ودقائق من المسجد النبوي، ليمضي يومك بهدوء بين الراحة والعبادة.
It is made for families and returning pilgrims who want a home of their own in the city &mdash; more space and privacy than a hotel room, in a building designed to be lived in for years, not nights.	صُمّم للعائلات ولزوّار المدينة العائدين ممن يريدون بيتاً خاصاً بهم — مساحة وخصوصية أكبر من غرفة فندقية، في مبنى مُعدّ للسكن سنوات لا ليالٍ.
&ldquo;Where every day begins close to what matters.&rdquo;	&rdquo;حيث يبدأ كل يوم قريباً مما يهم.&ldquo;
<b>20 min</b><span>Walk to the Haram</span><small>5 min drive</small>	<b>20 دقيقة</b><span>مشياً إلى الحرم</span><small>5 دقائق بالسيارة</small>
<b>2 min</b><span>To Masjid Al Fath</span>	<b>دقيقتان</b><span>إلى مسجد الفتح</span>
<b>6 min</b><span>To Masjid Al-Qiblatayn</span>	<b>6 دقائق</b><span>إلى مسجد القبلتين</span>
<b>3 min</b><span>To Dr Soliman Fakeeh Hospital</span>	<b>3 دقائق</b><span>إلى مستشفى د. سليمان فقيه</span>
#
# ---------- floor plans ----------
<div class="eyebrow">Floor Plans</div>	<div class="eyebrow">المخططات</div>
